file	n_pages_livestock	n_pages_sheep	n_pages_cattle	n_pages_trampl	n_pages_graz	n_pages_sedi	n_pages_qual	n_hits	n_pages
/datadrive/data/ESAdocs/federal_register/02-13342.pdf	10	3	3	0	28	0	0	44	29
/datadrive/data/ESAdocs/federal_register/02-23645.pdf	0	0	0	0	1	0	0	1	3
/datadrive/data/ESAdocs/federal_register/02-29778.pdf	0	0	1	0	2	0	1	4	2
/datadrive/data/ESAdocs/federal_register/02-849.pdf	0	0	0	0	1	0	0	1	1
/datadrive/data/ESAdocs/federal_register/03-22225.pdf	1	0	0	0	5	0	0	6	5
/datadrive/data/ESAdocs/federal_register/04-11036.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/04-14795.pdf	0	0	0	0	11	0	0	11	11
/datadrive/data/ESAdocs/federal_register/05-16569.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/05-4278.pdf	0	0	0	0	15	0	1	16	15
/datadrive/data/ESAdocs/federal_register/06-3344.pdf	16	1	5	2	54	5	4	87	104
/datadrive/data/ESAdocs/federal_register/2010-24730.pdf	0	0	0	0	2	1	0	3	3
/datadrive/data/ESAdocs/federal_register/2010-25044.pdf	0	0	0	0	7	0	0	7	8
/datadrive/data/ESAdocs/federal_register/2010-26764.pdf	0	0	0	0	7	2	0	9	10
/datadrive/data/ESAdocs/federal_register/2010-27773.pdf	0	0	0	0	4	0	0	4	6
/datadrive/data/ESAdocs/federal_register/2010-28272.pdf	0	0	0	0	3	0	1	4	3
/datadrive/data/ESAdocs/federal_register/2010-32628.pdf#page=1.pdf	5	0	1	0	20	1	0	27	23
/datadrive/data/ESAdocs/federal_register/2011-10288.pdf	0	0	0	0	2	0	0	2	6
/datadrive/data/ESAdocs/federal_register/2011-10467.pdf	5	3	0	1	18	0	0	27	19
/datadrive/data/ESAdocs/federal_register/2011-10753.pdf	14	0	0	8	21	1	0	44	33
/datadrive/data/ESAdocs/federal_register/2011-11607.pdf	0	0	0	0	1	0	0	1	4
/datadrive/data/ESAdocs/federal_register/2011-12330.pdf	2	0	0	0	17	0	1	20	23
/datadrive/data/ESAdocs/federal_register/2011-12928.pdf	0	0	0	0	18	0	0	18	24
/datadrive/data/ESAdocs/federal_register/2011-13044.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2011-13224.pdf	0	1	2	0	10	0	0	13	13
/datadrive/data/ESAdocs/federal_register/2011-13227.pdf	3	0	0	0	20	4	2	29	30
/datadrive/data/ESAdocs/federal_register/2011-13381.pdf	0	0	1	0	15	3	6	25	39
/datadrive/data/ESAdocs/federal_register/2011-13684.pdf	2	0	1	0	12	0	0	15	15
/datadrive/data/ESAdocs/federal_register/2011-13687.pdf	0	0	0	0	8	3	4	15	9
/datadrive/data/ESAdocs/federal_register/2011-13910.pdf	5	5	5	14	40	0	0	69	43
/datadrive/data/ESAdocs/federal_register/2011-13911.pdf	0	1	0	0	14	0	0	15	19
/datadrive/data/ESAdocs/federal_register/2011-14212.pdf	0	0	0	0	2	0	0	2	3
/datadrive/data/ESAdocs/federal_register/2011-15183.pdf	0	0	0	0	2	0	0	2	3
/datadrive/data/ESAdocs/federal_register/2011-15283.pdf	6	0	0	0	13	0	0	19	16
/datadrive/data/ESAdocs/federal_register/2011-15355.pdf	0	0	0	0	2	0	0	2	3
/datadrive/data/ESAdocs/federal_register/2011-15370.pdf	1	0	0	0	16	0	3	20	17
/datadrive/data/ESAdocs/federal_register/2011-15403.pdf	1	0	0	0	4	0	0	5	4
/datadrive/data/ESAdocs/federal_register/2011-15603.pdf	0	0	0	0	11	0	0	11	16
/datadrive/data/ESAdocs/federal_register/2011-15975.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/2011-16016.pdf	0	0	0	0	13	8	7	28	15
/datadrive/data/ESAdocs/federal_register/2011-16344.pdf	0	0	0	0	7	0	0	7	12
/datadrive/data/ESAdocs/federal_register/2011-16379.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2011-16748.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/2011-16982.pdf	1	0	0	0	3	0	0	4	4
/datadrive/data/ESAdocs/federal_register/2011-1703.pdf	7	0	1	3	76	9	5	101	223
/datadrive/data/ESAdocs/federal_register/2011-17162.pdf	3	0	7	11	108	3	1	133	234
/datadrive/data/ESAdocs/federal_register/2011-17452.pdf	0	0	0	0	2	0	0	2	3
