Title	Link	Date	FR_Cit	n_pg	n_hit	n_lives*	n_sheep	n_cattle	n_trampl*	n_graz*	n_sediment*	n_water_qual	Species	Orig_URL	Doc_Type
Final Rule to Determine Primula maguirei (Maguire Primrose) to be Thr. Species; 50 FR 33731-33734	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1003.pdf' target='_blank'>Link</a>	8/21/85	50 FR 33731 33734	4	2	0	0	1	0	1	0	0	Primula maguirei	<a href='http://ecos.fws.gov/docs/federal_register/fr1003.pdf' target='_blank'>FWS Link</a>	NA
Rule to Determine Townsendia aprica (Last Chance Townsendia) to be Thr. Species; 50 FR 33734-33737	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1004.pdf' target='_blank'>Link</a>	8/21/85	50 FR 33734 33737	4	8	1	0	3	3	1	0	0	Townsendia aprica	<a href='http://ecos.fws.gov/docs/federal_register/fr1004.pdf' target='_blank'>FWS Link</a>	NA
End. Status for Solidago shortii (Short's goldenrod); 50 FR 36085-36089	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1012.pdf' target='_blank'>Link</a>	9/5/85	50 FR 36085 36089	5	6	0	0	0	2	4	0	0	Solidago shortii	<a href='http://ecos.fws.gov/docs/federal_register/fr1012.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status & Designation of Crit. Hab. for White River Spinedace; 50 FR 37194-37198	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1016.pdf' target='_blank'>Link</a>	9/12/85	50 FR 37194 37198	5	2	0	0	0	0	2	0	0	Lepidomeda albivallis	<a href='http://ecos.fws.gov/docs/federal_register/fr1016.pdf' target='_blank'>FWS Link</a>	NA
Determination of End. Status for Acanthomintha obovata ssp. duttonii (San Mateo thornmint); 50 FR 37858-37863	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1021.pdf' target='_blank'>Link</a>	9/18/85	50 FR 37858 37863	6	4	0	0	0	0	4	0	0	Acanthomintha obovata ssp. duttonii	<a href='http://ecos.fws.gov/docs/federal_register/fr1021.pdf' target='_blank'>FWS Link</a>	NA
Determination that Warner Sucker is Thr. Species & Designation of Crit. Hab.; 50 FR 39117-39123	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1025.pdf' target='_blank'>Link</a>	9/27/85	50 FR 39117 39123	7	9	1	0	1	0	6	0	1	Catostomus warnerensis	<a href='http://ecos.fws.gov/docs/federal_register/fr1025.pdf' target='_blank'>FWS Link</a>	NA
Final Rule to Determine End. Status & Crit. Hab. for White River Springfish & Hiko White River Springfish; 50 FR 39123-39128	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1026.pdf' target='_blank'>Link</a>	9/27/85	50 FR 39123 39128	6	7	0	0	1	0	6	0	0	Crenichthys baileyi baileyi; Crenichthys baileyi grandis	<a href='http://ecos.fws.gov/docs/federal_register/fr1026.pdf' target='_blank'>FWS Link</a>	NA
Review of Plant Taxa for Listing as End. or Thr. Species; Notice of Review; 50 FR 39526-39584	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1027.pdf' target='_blank'>Link</a>	9/27/85	50 FR 39526 39584	52	40	0	0	0	0	40	0	0	Acanthomintha ilicifolia; Achyranthes mutica; Adenophorus periens; Adiantum vivesii; Agave eggersiana; Allium munzii; Alopecurus aequalis var. sonomensis; Amaranthus brownii; Ambrosia pumila; Arabis georgiana; Arabis hoffmannii; Arctostaphylos confertiflora; Arctostaphylos franciscana; Arctostaphylos glandulosa ssp. crassifolia; Arctostaphylos myrtifolia; Arctostaphylos pallida; Arenaria ursina; Argythamnia blodgettii; Asplenium dielfalcatum; Asplenium dielpallidum; Asplenium fragile insulare; Asplenium scolopendrium var. americanum; Astragalus brauntonii; Astragalus clarianus; Astragalus desereticus; Astragalus holmgreniorum; Astragalus jaegerianus; Astragalus lentiginosus var. coachellae; Astragalus lentiginosus var. piscinensis; Astragalus magdalenae var. peirsonii; Astragalus pycnostachyus var. lanosissimus; Astragalus tener var. titi; Baccharis vanessae; Berberis nevinii; Berberis pinnata ssp. insularis; Bidens conjuncta; Bidens micrantha ctenophylla; Brickellia mosieri; Brodiaea filifolia; Brodiaea pallida; Calyptridium pulchellum; Calystegia stebbinsii; Canavalia napaliensis; Canavalia pubescens; Carex albida; Castilleja campestris ssp. succulenta; Castilleja cinerea; Castilleja levisecta; Castilleja mollis; Ceanothus roderickii; Cenchrus agrimonioides; Cercocarpus traskiae; Chamaecrista lineata keyensis; Chamaesyce deltoidea serpyllum; Charpentiera densiflora; Chlorogalum purpureum; Chorizanthe orcuttiana; Cirsium hydrophilum var. hydrophilum; Cirsium loncholepis; Clarkia imbricata; Clarkia springvillensis; Clematis morefieldii; Clermontia drepanomorpha; Cordia bellonis; Cordylanthus mollis ssp. mollis; Ctenitis squamigera; Cupressus goveniana ssp. goveniana; Cyanea calycina; Cyanea grimesiana ssp. grimesiana; Cyanea humboldtiana; Cyanea kunthiana; Cyanea lanceolata; Cyanea marksii; Cyanea platyphylla; Cyanea purpurellifolia; Cyanea rivularis; Cyanea solanacea; Cyanea st.-johnii; Cyanea tritomantha; Cyathea dryopteroides; Cyrtandra dentata; Cyrtandra filipes; Cyrtandra gracilis; Cyrtandra kaulantha; Cyrtandra oenobarba; Cyrtandra waiolani; Deinandra (=Hemizonia) conjugens; Delissea subcordata; Delissea undulata; Delphinium bakeri; Delphinium luteum; Diellia erecta; Diplazium molokaiense; Dubautia waialealae; Dudleya abramsii ssp. parva; Dudleya cymosa ssp. marcescens; Dudleya nesiotica; Dudleya stolonifera; Dudleya verityi; Eragrostis fosbergii; Erigeron decumbens; Eriodictyon capitatum; Eriogonum apricum (incl. var. prostratum); Eriogonum kennedyi var. austromontanum; Euphorbia haeleeleana; Euphorbia remyi var. remyi; Fremontodendron californicum ssp. decumbens; Fremontodendron mexicanum; Fritillaria gentneri; Galium buxifolium; Galium californicum ssp. sierrae; Gaura neomexicana var. coloradensis; Gilia tenuiflora ssp. hoffmannii; Gonocalyx concolor; Hackelia venusta; Harrisia (=Cereus) aboriginum (=gracilis); Helenium virginicum; Helianthemum greenei; Helianthus paradoxus; Heritiera longipetiolata; Hibiscadelphus giffardianus; Hibiscadelphus hualalaiensis; Hibiscus dasycalyx; Holocarpha macradenia; Ipomopsis polyantha; Isodendrion laurifolium; Isodendrion longifolium; Isoetes louisianensis; Isoetes melanospora; Isoetes tegetiformans; Joinvillea ascendens ascendens; Kokia kauaiensis; Labordia triflora; Lasthenia conjugens; Leavenworthia crassa; Leavenworthia exigua laciniata; Lepidium arbuscula; Lesquerella perforata; Lesquerella thamnophila; Lessingia germanorum (=L.g. var. germanorum); Lilaeopsis schaffneriana var. recurva; Lilium pardalinum ssp. pitkinense; Limnanthes floccosa ssp. grandiflora; Linum arenicola; Linum carteri carteri; Lithophragma maximum; Lobelia koolauensis; Lupinus nipomensis; Malacothamnus fasciculatus var. nesioticus; Marsilea villosa; Melicope saint-johnii; Monardella viminea; Myrsine linearifolia; Myrsine mezii; Navarretia fossalis; Navarretia leucocephala ssp. pauciflora (=N. pauciflora); Navarretia leucocephala ssp. plieantha; Neostapfia colusana; Neraudia ovata; Nothocestrum latifolium; Orcuttia inaequalis; Orcuttia pilosa; Orcuttia tenuis; Orcuttia viscida; Panicum niihauense; Parvisedum leiocarpum; Pediocactus peeblesianus fickeiseniae; Pediocactus winkleri; Pentachaeta lyonii; Peperomia subpetiolata; Phacelia insularis ssp. insularis; Phacelia submutica; Phlox hirsuta; Phyllostegia floribunda; Phyllostegia hirsuta; Phyllostegia knudsenii; Phyllostegia parviflora; Phyllostegia stachyoides; Physaria globosa; Pittosporum halophilum; Pittosporum hawaiiense; Plagiobothrys strictus; Platanthera holochila; Platanthera integrilabia; Pleomele fernaldii; Poa atropurpurea; Poa napensis; Polyscias bisattenuata; Polyscias lydgatei; Polystichum aleuticum; Potentilla hickmanii; Pritchardia aylmer-robinsonii; Pritchardia kaalae; Pritchardia lanigera; Pritchardia remota; Pritchardia schattaueri; Pseudobahia bahiifolia; Pseudobahia peirsonii; Pseudognaphalium (=Gnaphalium) sandwicensium var. molokaiense; Pteralyxia macrocarpa; Pteris lidgatei; Sanicula purpurea; Sanicula sandwicensis; Schiedea hawaiiensis; Schiedea helleri; Schiedea hookeri; Schiedea kealiae; Schiedea membranacea; Schiedea pubescens; Schiedea salicaria; Schiedea sarmentosa; Schiedea stellarioides; Schiedea verticillata; Schiedea viscosa; Senecio layneae; Sidalcea keckii; Sidalcea oregana ssp. valida; Sidalcea oregana var. calva; Silene spaldingii; Solanum nelsonii; Stenogyne kaalae ssp. sherffii; Taraxacum californicum; Thelypodium howellii spectabilis; Thlaspi californicum; Trichostema austromontanum ssp. compactum; Trifolium amoenum; Trifolium trichocalyx; Tuctoria greenei; Varronia rupicola; Verbena californica; Viola kauaiensis var. wahiawaensis; Viola oahuensis; Wikstroemia skottsbergiana; Wikstroemia villosa	<a href='http://ecos.fws.gov/docs/federal_register/fr1027.pdf' target='_blank'>FWS Link</a>	NA
Endangered Status for 159 Taxa of Animals; 41 FR 24062 24067	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr103.pdf' target='_blank'>Link</a>	6/14/76	41 FR 24062 24067	7	0	0	0	0	0	0	0	0	Canis lupus; Dromus dromas; Epioblasma florentina curtisii; Epioblasma florentina florentina; Epioblasma obliquata perobliqua; Epioblasma torulosa gubernaculum; Epioblasma torulosa torulosa; Epioblasma turgidula; Fusconaia cor; Fusconaia cuneolus; Herpailurus (=Felis) yagouaroundi cacomitli; Herpailurus (=Felis) yagouaroundi tolteca; Lampsilis abrupta; Lampsilis higginsii; Lampsilis virescens; Lemiox rimosus; Plethobasus cicatricosus; Plethobasus cooperianus; Pleurobema plenum; Potamilus capax; Quadrula intermedia; Quadrula sparsa; Toxolasma cylindrellus; Villosa trabalis	<a href='http://ecos.fws.gov/docs/federal_register/fr103.pdf' target='_blank'>FWS Link</a>	NA
Listing Hoffmannseggia tenella as End. Species; 50 FR 45614-45618	<a href='https://defend-esc-dev.org/ESAdocs/federal_register/fr1042.pdf' target='_blank'>Link</a>	11/1/85	50 FR 45614 45618	5	2	0	0	0	0	2	0	0	Hoffmannseggia tenella	<a href='http://ecos.fws.gov/docs/federal_register/fr1042.pdf' target='_blank'>FWS Link</a>	NA
